"LIB1761224783726","1","1"
"LIB1761224783726","2","2"
"LIB1761224783726","3","3"
"LIB1761224783726","4","4"
"LIB1761224783726","5","5"
"LIB1761224783726","6","6"
"LIB1761224783726","7","7"
"LIB1761224783726","8","8"
"LIB1761224783726","9","9"
"LIB1761224783726","10","10"
"LIB1761224783726","11","11"
"LIB1761224783726","12","12"
"LIB1761224783726","13","13"
"LIB1761224783726","14","14"
"LIB1761224783726","15","15"
"LIB1761224783726","16","16"
"LIB1761224783726","17","17"
"LIB1761224783726","18","19"
"LIB1761224783726","19","20"
"LIB1761224783726","20","21"
"LIB1761224783726","21","22"
"LIB1761224783726","22","23"
"LIB1761224783726","23","24"
"LIB1761224783726","24","25"
"LIB1761224783726","25","26"
"LIB1761224783726","26","27"
"LIB1761224783726","27","28"
"LIB1761224783726","28","29"
"LIB1761224783726","29","30"
"LIB1761224783726","30","31"
"LIB1761224783726","31","32"
"LIB1761224783726","32","33"
"LIB1761224783726","33","34"
"LIB1761224783726","34","35"
"LIB1761224783726","35","36"
"LIB1761224783726","36","37"
"LIB1761224783726","37","38"
"LIB1761224783726","38","39"
"LIB1761224783726","39","40"
"LIB1761224783726","40","41"
"LIB1761224783726","41","42"
"LIB1761224783726","42","43"
"LIB1761224783726","43","44"
"LIB1761224783726","44","45"
"LIB1761224783726","45","46"
"LIB1761224783726","46","47"
"LIB1761224783726","47","49"
"LIB1761224783726","48","50"
"LIB1761224783726","49","51"
"LIB1761224783726","50","52"
"LIB1761224783726","51","53"
"LIB1761224783726","52","54"
"LIB1761224783726","53","55"
"LIB1761224783726","54","56"
"LIB1761224783726","55","57"
"LIB1761224783726","56","58"
"LIB1761224783726","57","59"
"LIB1761224783726","58","60"
"LIB1761224783726","59","61"
"LIB1761224783726","60","62"
"LIB1761224783726","61","63"
"LIB1761224783726","62","64"
"LIB1761224783726","63","65"
"LIB1761224783726","64","66"
"LIB1761224783726","65","67"
"LIB1761224783726","66","68"
"LIB1761224783726","67","69"
"LIB1761224783726","68","70"
"LIB1761224783726","69","71"
"LIB1761224783726","70","72"
"LIB1761224783726","71","73"
"LIB1761224783726","72","74"
"LIB1761224783726","73","75"
"LIB1761224783726","74","76"
"LIB1761224783726","75","77"
"LIB1761224783726","76","78"
"LIB1761224783726","77","79"
"LIB1761224783726","78","80"
"LIB1761224783726","79","81"
"LIB1761224783726","80","82"
"LIB1761224783726","81","83"
"LIB1761224783726","82","84"
"LIB1761224783726","83","85"
"LIB1761224783726","84","86"
"LIB1761224783726","85","87"
"LIB1761224783726","86","88"
"LIB1761224783726","87","89"
"LIB1761224783726","88","90"
"LIB1761224783726","89","91"
"LIB1761224783726","90","92"
"LIB1761224783726","91","93"
"LIB1761224783726","92","94"
"LIB1761224783726","93","95"
"LIB1761224783726","94","96"
"LIB1761224783726","95","97"
"LIB1761224783726","96","98"
"LIB1761224783726","97","99"
"LIB1761224783726","98","100"
"LIB1761224783726","99","101"
"LIB1761224783726","100","102"
"LIB1761224783726","101","103"
"LIB1761224783726","102","104"
"LIB1761224783726","103","105"
"LIB1761224783726","104","106"
"LIB1761224783726","105","107"
"LIB1761224783726","106","108"
"LIB1761224783726","107","109"
"LIB1761224783726","108","110"
"LIB1761224783726","109","111"
"LIB1761224783726","110","112"
"LIB1761224783726","111","113"
"LIB1761224783726","112","114"
"LIB1761224783726","113","115"
"LIB1761224783726","114","116"
"LIB1761224783726","115","117"
"LIB1761224783726","116","118"
"LIB1761224783726","117","119"
"LIB1761224783726","118","120"
"LIB1761224783726","119","121"
"LIB1761224783726","120","122"
"LIB1761224783726","121","123"
"LIB1761224783726","122","124"
"LIB1761224783726","123","125"
"LIB1761224783726","124","126"
"LIB1761224783726","125","127"
"LIB1761224783726","126","128"
"LIB1761224783726","127","129"
"LIB1761224783726","128","130"
"LIB1761224783726","129","131"
"LIB1761224783726","130","132"
"LIB1761224783726","131","133"
"LIB1761224783726","132","134"
"LIB1761224783726","133","135"
"LIB1761224783726","134","136"
"LIB1761224783726","135","137"
"LIB1761224783726","136","138"
"LIB1761224783726","137","139"
"LIB1761224783726","138","140"
"LIB1761224783726","139","141"
"LIB1761224783726","140","142"
"LIB1761224783726","141","143"
"LIB1761224783726","142","144"
"LIB1761224783726","143","145"
"LIB1761224783726","144","146"
"LIB1761224783726","145","147"
"LIB1761224783726","146","148"
"LIB1761224783726","147","149"
"LIB1761224783726","148","150"
"LIB1761224783726","149","151"
"LIB1761224783726","150","152"
"LIB1761224783726","151","153"
"LIB1761224783726","152","154"
"LIB1761224783726","153","155"
"LIB1761224783726","154","156"
"LIB1761224783726","155","157"
"LIB1761224783726","156","158"
"LIB1761224783726","157","159"
"LIB1761224783726","158","160"
